date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,street,city,statezip,country
2014-05-06 00:00:00,284000.0,4.0,2.5,2000,5390,2.0,0,0,3,2000,0,2003,0,25434 160th Ave SE,Kent,WA 98042,USA
2014-05-06 00:00:00,367500.0,3.0,1.5,1410,9647,1.0,0,0,3,1410,0,1961,2004,18048 3rd Ave NW,Shoreline,WA 98177,USA
2014-05-06 00:00:00,379900.0,4.0,1.75,1500,11600,1.0,0,0,4,1000,500,1955,2009,15007 75th Ave NE,Kenmore,WA 98028,USA
2014-05-06 00:00:00,520000.0,3.0,2.5,2460,54885,2.0,0,0,4,2460,0,1980,0,5424 NE 10th St,Renton,WA 98059,USA
2014-05-06 00:00:00,175000.0,3.0,1.0,1010,7034,1.0,0,0,3,1010,0,1954,2005,207 NW 5th St,Renton,WA 98057,USA
2014-05-06 00:00:00,460000.0,2.0,2.25,1230,929,2.0,0,0,3,1020,210,2004,2003,100 24th Ave E,Seattle,WA 98112,USA
2014-05-06 00:00:00,345000.0,4.0,2.5,2331,3826,2.0,0,0,3,2331,0,2007,0,11853 SE 176th Ct,Renton,WA 98058,USA
2014-05-06 00:00:00,455000.0,5.0,2.5,2240,7770,1.0,0,0,3,1340,900,1978,0,12633 NE 133rd Pl,Kirkland,WA 98034,USA
2014-05-06 00:00:00,610000.0,4.0,3.0,2450,10117,1.0,0,0,5,1580,870,1967,0,15607 SE 42nd Ct,Bellevue,WA 98006,USA
2014-05-06 00:00:00,563000.0,4.0,3.0,3100,15480,2.0,0,0,3,2400,700,1996,0,7422 NE 163rd St,Kenmore,WA 98028,USA
2014-05-06 00:00:00,612500.0,4.0,2.0,2060,5000,1.0,0,0,3,1030,1030,1949,2013,1708 NW 96th St,Seattle,WA 98117,USA
2014-05-06 00:00:00,218000.0,3.0,1.75,1850,7684,1.0,0,0,3,1320,530,1979,2014,33945 28th Pl SW,Federal Way,WA 98023,USA
2014-05-06 00:00:00,404000.0,4.0,1.75,1840,10720,1.0,0,0,3,960,880,1958,2004,16020 SE 2nd St,Bellevue,WA 98008,USA
2014-05-06 00:00:00,860000.0,4.0,2.0,3740,32417,2.0,0,0,3,3740,0,2000,0,24507 NE 77th Pl,Redmond,WA 98053,USA
2014-05-06 00:00:00,136500.0,3.0,1.5,1420,8580,1.0,0,0,3,1420,0,1962,2003,32827 22nd Ave SW,Federal Way,WA 98023,USA
2014-05-06 00:00:00,313950.0,3.0,1.0,1510,6083,1.0,0,0,4,860,650,1940,2001,415 NE 94th St,Seattle,WA 98115,USA
2014-05-06 00:00:00,575000.0,3.0,1.75,2130,6500,1.0,0,2,3,1170,960,1954,2005,2214 W Halladay St,Seattle,WA 98199,USA
2014-05-06 00:00:00,1225000.0,4.0,2.25,3490,6906,2.0,0,0,4,2280,1210,1928,0,2560 39th Ave W,Seattle,WA 98199,USA
2014-05-06 00:00:00,280000.0,3.0,1.75,1630,11800,1.0,0,0,4,1630,0,1971,0,12525 458th Ave SE,North Bend,WA 98045,USA
2014-05-06 00:00:00,515000.0,3.0,2.5,1790,7167,2.0,0,0,3,1790,0,1989,0,920 221st Ave NE,Sammamish,WA 98074,USA
2014-05-06 00:00:00,513000.0,4.0,2.5,2000,5684,2.0,0,0,3,2000,0,1996,0,9041 NE 160th Pl,Kenmore,WA 98028,USA
2014-05-06 00:00:00,599000.0,4.0,2.25,2260,29930,2.0,0,0,4,1400,860,1977,0,16022 SE 43rd St,Bellevue,WA 98006,USA
2014-05-06 00:00:00,685000.0,4.0,2.5,3030,7864,2.0,0,0,3,3030,0,1999,0,24201 SE 1st Pl,Sammamish,WA 98074,USA
